path	sha256	bytes	kind	author	license	source	generator
Civ2/Fonts/LiberationSans-Regular.ttf	76d04c18ea243f426b7de1f3ad208e927008f961dc5945e5aad352d0dfde8ee8	410712	third-party-font	Google Corporation and Red Hat, Inc.; Liberation Fonts contributors	OFL-1.1	https://github.com/liberationfonts/liberation-fonts	unmodified upstream font
Civ2/Fonts/LiberationSerif-Bold.ttf	d754ba427cfe0bca54ae052384baa8f842da5bd6550ad4da024ac441e7a7d5ce	370096	third-party-font	Google Corporation and Red Hat, Inc.; Liberation Fonts contributors	OFL-1.1	https://github.com/liberationfonts/liberation-fonts	unmodified upstream font
Civ2/Fonts/LiberationSerif-Regular.ttf	058ea80864aef09a23f45cbec2bb5400bc3dfbdea01c3f10538a21fcb497fb74	393576	third-party-font	Google Corporation and Red Hat, Inc.; Liberation Fonts contributors	OFL-1.1	https://github.com/liberationfonts/liberation-fonts	unmodified upstream font
Civ2/buttons.png	3351dea8171535941603a270f0e2a8a89993139469f93e755b857fbcbbb9a602	1016	upstream-project-original	Reuben Evans	GPL-3.0-only	https://github.com/axx0/Civ2-clone/commit/652bb54eb2a8f984ff6d0ec208e67dd4f17bd7db	none
Civ2/explorer_icons.png	a8d5e75c31e7ca771d3d5e675ac669b18cc055a95ad1624c2d420cbfc6eb4953	1800	upstream-project-original	axx0/Civ2-clone contributors	GPL-3.0-only	https://github.com/axx0/Civ2-clone/commit/19055289d19dd7ce1e65cd5bcc84135a46872e33	none
RaylibUI/FOSSart/Advances/advancedflight.jpg	fde891c0cc527bb993d191de0b8bae4f0e52793ad79ce4954bd883205cf64e46	424929	project-original-art	crhy and rhYciv contributors	GPL-3.0-only	https://github.com/crhy/rhYciv	none
RaylibUI/FOSSart/Advances/alphabet.jpg	02fab95818d5b2fab1fd827849afbec62be36fea8d1f4e839a02a06021953921	414884	project-original-art	crhy and rhYciv contributors	GPL-3.0-only	https://github.com/crhy/rhYciv	none
RaylibUI/FOSSart/Advances/amphibiouswarfare.jpg	d5b25ada35837a21e8f1824bced09fe570faa0ff7c820588932a6e22fc7731cb	311242	project-original-art	crhy and rhYciv contributors	GPL-3.0-only	https://github.com/crhy/rhYciv	none
RaylibUI/FOSSart/Advances/astronomy.jpg	886b48837b9c572c624b6f6906bb4b370d0f653c162b6a7ccc53f7293d5ea235	451935	project-original-art	crhy and rhYciv contributors	GPL-3.0-only	https://github.com/crhy/rhYciv	none
RaylibUI/FOSSart/Advances/atomictheory.jpg	7a2dcb505425720451130a3aa291dd502307e0f5ce02c7b37d77de1437f68bc5	249068	project-original-art	crhy and rhYciv contributors	GPL-3.0-only	https://github.com/crhy/rhYciv	none
